id,created_at,text
1045858700504621056,2018-09-29 02:11:59,"b'Your parents are not the gods you once thought they were. \n\nAnd thank God for that. Because if they were, you\xe2\x80\x99d nev\xe2\x80\xa6 https://t.co/k1CSWOEIZg'"
1045607725072150533,2018-09-28 09:34:42,b'#winterreadinglist https://t.co/l0Y4Yj5jHB'
1045606795169882112,2018-09-28 09:31:01,b'Only for the third? \xf0\x9f\x98\xad https://t.co/c5s6BtyrtB'
1045606220214616064,2018-09-28 09:28:43,b'Carter'
1045515773219725312,2018-09-28 03:29:19,b'Listen to this album y\xe2\x80\x99all \n\nhttps://t.co/Vid5sBYDmX\n\nhttps://t.co/eDnfn4VC6O https://t.co/A3cE4C5NOk'
1045513535072034817,2018-09-28 03:20:26,"b'Writer, director, producer and idiot'"
1044631519698931712,2018-09-25 16:55:37,b'Most people are just trying to distract themselves until they die.'
1044239612225347584,2018-09-24 14:58:19,b'There\xe2\x80\x99s a madness to your methods'
1043800719847911424,2018-09-23 09:54:19,b'Slow the fuck down.'
1043799103589691394,2018-09-23 09:47:53,b'I\xef\xb8\x8f can\xe2\x80\x99t'
1043670573778235394,2018-09-23 01:17:09,"b'Wake up, speak for 45 minutes, drink earl grey, leave to the beach'"
1042447620147339265,2018-09-19 16:17:35,b'\xf0\x9f\xa4\x93 https://t.co/77jKK0gdzP'
1041363602567913472,2018-09-16 16:30:05,b'I can\xe2\x80\x99t abandon the person I used to be so I carry him'
1041115909866156033,2018-09-16 00:05:50,"b'@kristinekwak Indeed, dope song too'"
1041114362981736448,2018-09-15 23:59:41,b'Champion yourself and others will disown you.'
1040278065161498624,2018-09-13 16:36:32,b'Nobody says I\xef\xb8\x8f love you the same way'
1039977845886312448,2018-09-12 20:43:34,b'Thank you so much my love. Your words are inspiring \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\xb9 https://t.co/aYaJCBNiVm'
1039282770789318656,2018-09-10 22:41:36,b'Feed your mind. Open your heart. Create a blueprint for your life. Craft your Vision Board. Replace your daily habi\xe2\x80\xa6 https://t.co/fvfVIuH9x1'
1039281100126740480,2018-09-10 22:34:57,b'@BroccoliCity \xf0\x9f\x98\x82'
